date,ticker,volume,open,close,high,low,window_start,transactions
2025-10-31,NVDA,179798344,206.45,202.49,207.97,202.07,1761883200000000000,2845920
2025-11-03,NVDA,180265342,208.08,206.88,211.335,205.56,1762146000000000000,3054435
2025-11-04,NVDA,188894759,203.0,198.69,203.9699,197.93,1762232400000000000,3565405
2025-11-05,NVDA,171348782,198.77,195.21,202.92,194.65,1762318800000000000,2775975
2025-11-06,NVDA,223024989,196.42,188.08,197.62,186.38,1762405200000000000,3884181
2025-11-07,NVDA,264939772,184.9,188.15,188.32,178.91,1762491600000000000,4573288
2025-11-10,NVDA,198884804,195.11,199.05,199.94,193.79,1762750800000000000,3226819
2025-11-11,NVDA,176446659,195.155,193.16,195.42,191.3,1762837200000000000,2973288
2025-11-12,NVDA,154928125,195.72,193.8,195.89,191.13,1762923600000000000,2567984
2025-11-13,NVDA,207420774,191.05,186.86,191.44,183.85,1763010000000000000,3532177
2025-11-14,NVDA,186588499,182.86,190.17,191.01,180.58,1763096400000000000,3107959
2025-11-17,NVDA,173623379,185.965,186.6,189.0,184.32,1763355600000000000,3083602
2025-11-18,NVDA,213594749,183.375,181.36,184.8,179.65,1763442000000000000,3539434
2025-11-19,NVDA,247238094,184.79,186.52,187.855,182.8301,1763528400000000000,3847201
2025-11-20,NVDA,343500467,195.95,180.64,196.0,179.85,1763614800000000000,5517617
2025-11-21,NVDA,346920745,181.235,178.88,184.56,172.93,1763701200000000000,5306174
2025-11-24,NVDA,256589462,179.49,182.55,183.5,176.48,1763960400000000000,3402727
2025-11-25,NVDA,320586750,174.91,177.82,178.16,169.55,1764046800000000000,4520985
2025-11-26,NVDA,183807114,181.63,180.26,182.91,178.24,1764133200000000000,2612728
2025-11-28,NVDA,121060999,179.01,177.0,179.29,176.5,1764306000000000000,1940622
2025-12-01,NVDA,187740242,174.76,179.92,180.3,173.68,1764565200000000000,2622444
2025-12-02,NVDA,182117064,181.76,181.46,185.66,180.0,1764651600000000000,2575614
2025-12-03,NVDA,164982727,181.08,179.59,182.45,179.1101,1764738000000000000,2317259
2025-12-04,NVDA,166889138,181.62,183.38,184.515,179.96,1764824400000000000,2328014
2025-12-05,NVDA,143637787,183.89,182.41,184.66,180.91,1764910800000000000,2146266
2025-12-08,NVDA,203785330,182.64,185.55,188.0,182.4,1765170000000000000,2844774
2025-12-09,NVDA,144376088,185.56,184.97,185.7167,183.32,1765256400000000000,2121914
2025-12-10,NVDA,162516200,184.965,183.78,185.48,182.035,1765342800000000000,2276729
2025-12-11,NVDA,181661541,180.275,180.93,181.32,176.62,1765429200000000000,2736074
2025-12-12,NVDA,203813551,181.11,175.02,182.82,174.62,1765515600000000000,3101743
2025-12-15,NVDA,164506902,177.936,176.29,178.415,175.03,1765774800000000000,2526911
2025-12-16,NVDA,148304950,176.26,177.72,178.49,174.9,1765861200000000000,2250400
2025-12-17,NVDA,222339591,176.1,170.94,176.13,170.31,1765947600000000000,3169066
2025-12-18,NVDA,175826146,174.53,174.14,176.15,171.82,1766034000000000000,2243184
2025-12-19,NVDA,324570976,176.665,180.99,181.45,176.34,1766120400000000000,2420839
2025-12-22,NVDA,128875016,183.92,183.69,184.16,182.35,1766379600000000000,1974088
2025-12-23,NVDA,174873621,182.97,189.21,189.33,182.9,1766466000000000000,2240514
2025-12-24,NVDA,65528545,187.94,188.61,188.91,186.59,1766552400000000000,1265927
2025-12-26,NVDA,139740292,189.92,190.53,192.69,188.0,1766725200000000000,2035094
2025-12-29,NVDA,120006103,187.71,188.22,188.755,185.91,1766984400000000000,1952947
2025-12-30,NVDA,97687274,188.24,187.54,188.99,186.93,1767070800000000000,1553292
2025-12-31,NVDA,120100484,189.57,186.5,190.56,186.49,1767157200000000000,1661178
